pdf,yr,FirstAuthor,tot.authors,male.auths,female.auths,prop.female
1,1997,M,1,1,0,0
2,1993,M,3,3,0,0
3,1984,M,1,1,0,0
4,2007,M,3,2,1,0.333333333
5,2001,M,1,1,0,0
6,1993,M,3,2,0,0
7,2013,F,5,3,2,0.4
8,1974,F,1,0,1,1
9,2000,M,3,3,0,0
10,2011,F,14,9,5,0.357142857
11,1978,M,2,2,0,0
12,1979,M,2,2,0,0
13,1980,M,2,2,0,0
14,1981,M,2,2,0,0
15,1994,M,1,1,0,0
16,1980,M,2,2,0,0
17,1976,M,2,2,0,0
18,1981,M,2,2,0,0
19,1999,M,2,2,0,0
20,1993,M,2,2,0,0
21,2007,M,8,6,2,0.25
22,1985,M,2,2,0,0
23,1948,M,1,1,0,0
24,2010,M,1,1,0,0
25,1999,M,8,6,2,0.25
26,2008,M,2,1,1,0.5
27,1997,M,1,1,0,0
28,2002,F,1,0,1,1
29,1994,M,2,2,0,0
30,1985,M,3,3,0,0
31,1994,M,1,1,0,0
32,1996,M,1,1,0,0
33,2010,M,1,1,0,0
34,1996,M,5,5,0,0
35,2004,M,15,9,6,0.4
36,2014,M,4,1,3,0.75
37,2008,M,6,4,2,0.333333333
38,2009,M,7,4,3,0.428571429
39,2003,M,7,7,0,0
40,2002,M,2,2,0,0
41,1994,F,1,0,1,1
42,2008,M,3,3,0,0
43,1965,M,2,2,0,0
44,1989,M,2,2,0,0
45,1984,M,1,1,0,0
46,2004,M,5,5,0,0
47,1988,M,1,1,0,0
48,1989,M,1,1,0,0
49,1999,M,3,3,0,0
50,1956,M,2,2,0,0
51,2004,M,2,2,0,0
52,2001,M,2,2,0,0
53,2006,M,6,3,3,0.5
54,1985,M,4,4,0,0
55,2002,M,13,11,2,0.153846154
56,1995,M,1,1,0,0
57,2006,M,7,4,3,0.428571429
58,2007,M,8,7,1,0.125
59,2012,M,17,11,6,0.352941176
60,1987,M,10,8,1,0.111111111
61,1985,M,3,3,0,0
62,2009,M,15,11,4,0.266666667
63,2007,M,4,4,0,0
64,1970,M,1,1,0,0
65,1994,M,1,1,0,0
66,2009,F,4,3,1,0.25
68,1965,M,1,1,0,0
69,1980,M,1,1,0,0
70,2006,M,29,26,3,0.103448276
71,1976,M,1,1,0,0
72,2007,M,1,1,0,0
73,2013,M,1,1,0,0
74,2000,M,1,1,0,0
75,2008,M,2,1,1,0.5
76,1981,M,2,2,0,0
77,2003,M,2,2,0,0
78,1979,M,1,1,0,0
79,1936,M,1,1,0,0
80,1966,M,1,1,0,0
81,1985,F,3,2,1,0.333333333
82,2009,M,2,2,0,0
83,1961,M,1,1,0,0
84,1961,M,1,1,0,0
85,1978,M,1,1,0,0
86,1980,M,1,1,0,0
87,1977,M,2,2,0,0
88,1983,M,2,2,0,0
89,1979,M,2,2,0,0
90,1979,M,2,2,0,0
91,2013,M,1,1,0,0
92,2006,M,3,3,0,0
93,1997,M,13,10,3,0.230769231
94,2005,F,3,2,1,0.333333333
95,2001,M,8,7,1,0.125
96,1999,M,3,3,0,0
97,2015,M,6,5,1,0.166666667
98,2005,M,4,4,0,0
99,1989,M,2,2,0,0
100,2007,F,3,1,2,0.666666667
101,1987,F,3,2,1,0.333333333
102,2004,M,11,9,2,0.181818182
103,1981,M,1,1,0,0
104,1858,M,2,2,0,0
105,1971,M,1,1,0,0
106,1973,M,1,1,0,0
107,1992,M,4,3,1,0.25
108,1974,M,4,3,1,0.25
109,1955,M,1,1,0,0
110,1995,M,4,4,0,0
111,1996,M,1,1,0,0
112,2008,M,7,6,1,0.142857143
113,1975,M,1,1,0,0
114,2004,F,39,18,13,0.419354839
115,2014,M,6,5,1,0.166666667
116,2008,M,2,2,0,0
117,1980,M,2,2,0,0
118,2003,M,3,2,1,0.333333333
119,2000,M,1,1,0,0
120,2004,M,4,4,0,0
121,2000,M,2,2,0,0
122,2000,M,3,3,0,0
123,2002,M,3,3,0,0
124,2000,M,4,4,0,0
125,1991,M,2,2,0,0
126,1967,M,2,2,0,0
127,1964,M,2,2,0,0
128,1971,M,2,2,0,0
129,2001,M,11,10,1,0.090909091
130,2000,M,10,7,3,0.3
131,1977,M,2,2,0,0
132,1982,M,1,1,0,0
133,1998,M,3,3,0,0
134,1998,M,4,3,1,0.25
135,2011,M,3,3,0,0
136,2003,F,1,0,1,1
137,2013,F,1,0,1,1
138,2000,M,3,3,0,0
139,1981,M,1,1,0,0
140,1985,M,1,1,0,0
141,2012,M,1,1,0,0
142,2005,M,19,13,6,0.315789474
143,1986,M,1,1,0,0
144,1970,M,2,2,0,0
145,2003,M,1,1,0,0
146,2015,M,1,1,0,0
147,2007,M,3,3,0,0
148,2000,M,5,3,2,0.4
149,1994,M,2,2,0,0
150,1994,M,2,2,0,0
151,2000,M,1,1,0,0
152,1934,M,1,1,0,0
153,1936,M,2,2,0,0
154,1995,F,2,1,1,0.5
155,1997,M,4,3,1,0.25
156,2011,M,1,1,0,0
158,2004,M,2,2,0,0
159,1926,M,1,1,0,0
160,1999,M,3,3,0,0
161,1979,M,3,3,0,0
162,2001,M,2,2,0,0
163,1979,M,2,2,0,0
164,1991,M,1,1,0,0
165,1995,M,2,1,1,0.5
166,1973,M,1,1,0,0
167,1974,M,1,1,0,0
168,1977,M,1,1,0,0
169,1998,M,1,1,0,0
170,2005,M,1,1,0,0
171,1917,M,1,1,0,0
172,1977,M,1,1,0,0
173,2005,M,2,2,0,0
174,2005,M,5,3,2,0.4
175,1960,M,3,3,0,0
176,1993,M,1,1,0,0
177,1963,M,2,2,0,0
178,2008,M,19,12,7,0.368421053
179,1982,M,2,1,1,0.5
180,1977,M,2,2,0,0
181,1964,M,1,1,0,0
182,1964,M,1,1,0,0
183,1966,M,1,1,0,0
184,1967,M,1,1,0,0
185,1994,M,1,1,0,0
186,1998,M,1,1,0,0
187,1968,M,1,1,0,0
188,1960,M,1,1,0,0
189,2015,M,2,1,1,0.5
190,1967,M,1,1,0,0
191,2007,M,2,2,0,0
192,2008,M,1,1,0,0
193,1994,M,3,3,0,0
194,1976,M,3,3,0,0
195,1973,M,2,2,0,0
196,1986,M,2,2,0,0
197,1991,M,3,3,0,0
198,2015,M,7,7,0,0
199,2003,M,12,10,2,0.166666667
200,1999,M,2,2,0,0
201,1992,M,2,2,0,0
202,2006,M,18,16,2,0.111111111
203,2009,M,5,5,0,0
204,1969,M,2,1,0,0
205,1973,M,1,1,0,0
206,1959,M,1,1,0,0
207,1993,M,2,2,0,0
208,1997,M,2,2,0,0
209,1977,M,1,1,0,0
210,2005,M,15,13,2,0.133333333
211,1972,M,2,2,0,0
212,1983,M,7,7,0,0
213,2010,M,1,1,0,0
214,1979,M,1,1,0,0
215,1997,M,1,1,0,0
216,2006,M,1,1,0,0
217,1998,M,3,3,0,0
218,2012,M,6,5,1,0.166666667
219,1958,M,1,1,0,0
220,1999,M,2,2,0,0
221,1992,M,2,2,0,0
222,1984,M,1,1,0,0
223,2004,M,1,1,0,0
224,2009,M,2,1,1,0.5
225,1997,M,1,1,0,0
226,1957,M,1,1,0,0
227,1959,M,1,1,0,0
228,1961,M,1,1,0,0
229,1981,M,1,1,0,0
230,2001,M,19,15,4,0.210526316
231,2009,M,4,4,0,0
232,2000,M,2,2,0,0
233,1967,M,1,1,0,0
234,1982,M,2,2,0,0
235,1970,M,1,1,0,0
236,2002,M,1,1,0,0
237,1980,M,1,1,0,0
238,2004,M,2,2,0,0
239,1997,F,3,2,1,0.333333333
240,2010,F,1,0,1,1
241,1994,M,3,3,0,0
242,1999,M,4,2,2,0.5
243,1987,M,2,2,0,0
244,1983,M,2,1,1,0.5
245,2004,M,2,2,0,0
246,2009,M,2,2,0,0
247,1992,M,1,1,0,0
248,2005,M,1,1,0,0
249,1998,M,2,2,0,0
250,2013,F,3,0,3,1
251,2002,M,4,3,1,0.25
252,1955,M,1,1,0,0
253,2010,M,5,4,1,0.2
254,1968,M,1,1,0,0
255,2001,M,9,5,4,0.444444444
256,1997,M,2,2,0,0
257,2006,M,1,1,0,0
258,2015,M,1,1,0,0
259,1996,M,3,2,1,0.333333333
260,1993,M,2,2,0,0
261,1983,M,2,2,0,0
262,1980,M,1,1,0,0
263,1981,M,1,1,0,0
264,1993,M,1,1,0,0
265,2004,M,3,2,1,0.333333333
266,1992,M,2,2,0,0
267,2002,F,2,1,1,0.5
268,1992,M,1,1,0,0
269,1999,M,1,1,0,0
270,2002,F,1,0,1,1
271,2004,M,12,10,2,0.166666667
272,2002,M,2,2,0,0
273,1953,M,1,1,0,0
274,1974,M,2,2,0,0
275,1980,M,1,1,0,0
276,1992,M,1,1,0,0
277,1963,M,1,1,0,0
278,1963,M,1,1,0,0
279,1966,M,1,1,0,0
280,1969,M,1,1,0,0
281,1971,M,2,2,0,0
282,2006,M,1,1,0,0
283,2008,F,11,8,3,0.272727273
284,1970,M,5,5,0,0
285,1942,M,1,1,0,0
286,2006,M,2,2,0,0
287,1999,M,1,1,0,0
288,1998,M,1,1,0,0
289,2003,M,3,3,0,0
290,1955,M,1,1,0,0
291,1958,M,1,1,0,0
292,1961,M,2,2,0,0
293,1966,M,2,2,0,0
294,1963,M,2,2,0,0
295,1967,M,2,2,0,0
296,1964,M,2,2,0,0
297,2012,F,3,2,1,0.333333333
298,2000,M,6,6,0,0
299,2002,M,6,5,1,0.166666667
300,1963,M,1,1,0,0
301,2014,M,16,12,4,0.25
302,1995,M,9,8,1,0.111111111
303,1966,M,1,1,0,0
304,1972,M,2,2,0,0
305,1979,M,2,2,0,0
306,1972,M,1,1,0,0
307,1973,M,1,1,0,0
308,1973,M,1,1,0,0
309,1974,M,1,1,0,0
310,1976,M,1,1,0,0
311,1977,M,1,1,0,0
312,1988,M,1,1,0,0
313,1983,M,2,2,0,0
314,2000,M,1,1,0,0
315,1998,M,3,3,0,0
316,2006,M,4,4,0,0
317,2015,M,4,2,2,0.5
318,1995,M,1,1,0,0
319,2013,M,1,1,0,0
320,1977,M,1,1,0,0
321,1989,M,4,4,0,0
322,2003,M,13,9,4,0.307692308
323,1968,M,1,1,0,0
324,1981,M,1,1,0,0
325,2006,M,8,8,0,0
326,1988,M,3,3,0,0
327,1997,M,1,1,0,0
328,1990,M,2,2,0,0
329,1970,M,2,2,0,0
330,2011,M,5,5,0,0
331,1987,M,2,2,0,0
332,2011,M,7,5,2,0.285714286
333,1985,M,3,2,1,0.333333333
334,2014,M,1,1,0,0
335,2000,F,4,3,1,0.25
336,2012,M,3,2,1,0.333333333
337,2003,M,2,2,0,0
338,1993,M,3,3,0,0
339,2007,M,2,2,0,0
340,2008,M,7,7,0,0
341,1999,M,2,2,0,0
342,2009,M,2,2,0,0
343,1997,M,2,2,0,0
344,1957,M,1,1,0,0
345,1980,M,2,2,0,0
346,2009,F,5,2,3,0.6
347,1969,M,1,1,0,0
348,2001,M,1,1,0,0
349,1981,M,4,4,0,0
350,1962,M,1,1,0,0
351,1977,M,2,2,0,0
352,1999,M,4,4,0,0
353,1966,M,1,1,0,0
354,1980,M,1,1,0,0
355,2008,M,6,5,1,0.166666667
356,1972,M,3,2,0,0
357,2003,F,2,1,1,0.5
358,1987,M,4,4,0,0
359,1982,M,2,2,0,0
360,1998,M,5,5,0,0
361,2003,M,2,2,0,0
362,2015,M,4,2,2,0.5
363,2010,M,23,15,8,0.347826087
364,2015,M,18,16,2,0.111111111
365,2001,M,2,2,0,0
366,2002,M,3,3,0,0
367,1970,M,1,1,0,0
368,1961,M,1,1,0,0
369,1968,M,1,1,0,0
370,1964,M,1,1,0,0
371,1997,M,8,6,2,0.25
372,1991,M,1,1,0,0
373,1996,M,2,2,0,0
374,1990,M,2,2,0,0
375,1990,F,1,1,0,0
376,2005,M,3,3,0,0
377,1962,M,1,1,0,0
378,1980,M,6,6,0,0
379,2015,M,1,1,0,0
380,2000,M,1,1,0,0
381,1988,M,1,1,0,0
382,2000,M,1,1,0,0
383,2015,M,2,2,0,0
384,2015,M,7,4,3,0.428571429
385,1965,M,1,1,0,0
386,1994,M,1,1,0,0
387,1958,M,1,1,0,0
388,1992,M,1,1,0,0
389,2009,M,2,2,0,0
390,1993,M,1,1,0,0
391,2002,F,3,2,1,0.333333333
392,2014,M,1,1,0,0
393,1986,M,1,1,0,0
394,1996,M,1,1,0,0
395,1989,M,1,1,0,0
396,1987,M,1,1,0,0
397,2004,M,1,1,0,0
398,2008,M,1,1,0,0
399,2003,M,6,4,2,0.333333333
400,1971,M,1,1,0,0
401,1963,M,2,2,0,0
402,1992,M,4,4,0,0
403,2000,M,19,13,6,0.315789474
404,2007,M,1,1,0,0
405,1974,M,2,2,0,0
406,2001,M,5,5,0,0
407,2008,M,2,2,0,0
408,1974,M,2,2,0,0
409,1977,M,1,1,0,0
410,2008,M,130,82,48,0.369230769
411,1992,M,2,2,0,0
412,1988,M,1,1,0,0
413,2011,M,14,11,3,0.214285714
414,1971,M,1,1,0,0
415,1989,M,1,1,0,0
416,2011,M,1,1,0,0
417,2009,M,4,3,1,0.25
418,1981,M,1,1,0,0
419,2002,F,2,1,1,0.5
420,1995,M,3,3,0,0
421,2006,M,3,3,0,0
422,1985,M,2,2,0,0
423,2006,M,3,3,0,0
424,2002,M,2,2,0,0
425,2004,M,1,1,0,0
426,1983,M,1,1,0,0
427,1976,M,1,1,0,0
428,1969,M,2,2,0,0
429,2010,M,26,18,8,0.307692308
430,1985,M,1,1,0,0
431,1979,M,1,1,0,0
432,1977,M,1,1,0,0
433,1994,M,2,2,0,0
434,2003,F,1,0,1,1
435,1976,M,1,1,0,0
436,1989,M,1,1,0,0
437,1989,M,1,1,0,0
438,2015,M,18,10,8,0.444444444
439,1997,M,4,4,0,0
440,1999,M,3,3,0,0
441,1963,M,1,1,0,0
442,1988,M,1,1,0,0
443,2008,F,10,5,5,0.5
444,1980,M,1,1,0,0
445,2012,M,7,7,0,0
446,1996,F,3,1,2,0.666666667
447,2006,M,39,37,2,0.051282051
448,2013,M,34,27,7,0.205882353
449,2003,M,1,1,0,0
450,2013,M,2,2,0,0
451,2004,M,2,2,0,0
452,1993,M,1,1,0,0
453,1971,M,1,1,0,0
454,1996,M,1,1,0,0
455,1999,M,5,3,2,0.4
456,1966,M,1,1,0,0
457,2005,M,5,4,1,0.2
458,1994,M,1,1,0,0
459,1997,M,1,1,0,0
460,1977,M,1,1,0,0
461,1980,M,1,1,0,0
462,1999,M,3,3,0,0
463,1994,M,6,6,0,0
464,2014,M,1,1,0,0
465,1996,M,3,2,1,0.333333333
466,1963,M,1,1,0,0
467,1976,M,1,1,0,0
468,1973,M,1,1,0,0
469,1974,M,1,1,0,0
470,2012,M,26,19,7,0.269230769
471,2010,F,1,0,1,1
472,1994,M,1,1,0,0
473,2000,M,3,2,1,0.333333333
474,2013,M,13,9,4,0.307692308
475,1986,M,2,2,0,0
476,1965,M,1,1,0,0
477,1973,M,1,1,0,0
478,1947,M,1,1,0,0
479,2010,M,1,1,0,0
480,2007,M,1,1,0,0
481,1945,M,1,1,0,0
482,2007,F,7,2,5,0.714285714
483,1975,M,2,2,0,0
484,1997,M,8,7,1,0.125
485,1997,M,4,3,1,0.25
486,1991,M,2,2,0,0
487,1994,M,1,1,0,0
488,2003,M,4,4,0,0
489,1990,M,1,1,0,0
490,2004,M,6,5,1,0.166666667
491,2011,M,4,4,0,0
492,1947,M,1,1,0,0
493,1998,M,2,2,0,0
494,1986,M,1,1,0,0
495,1948,M,1,1,0,0
496,2002,M,4,4,0,0
497,1992,M,1,1,0,0
498,2015,F,4,0,4,1
499,1984,M,2,2,0,0
500,1993,M,2,2,0,0
501,1997,M,3,3,0,0
502,2006,M,2,2,0,0
503,2008,M,1,1,0,0
504,1956,M,1,1,0,0
505,1972,M,1,1,0,0
506,1976,M,1,1,0,0
507,1989,M,1,1,0,0
508,2004,M,2,2,0,0
509,1997,M,1,1,0,0
510,2015,M,3,3,0,0
511,1957,M,1,1,0,0
512,2007,M,2,2,0,0
513,1975,M,1,1,0,0
514,1998,M,5,5,0,0
515,2009,M,22,17,5,0.227272727
516,1934,M,1,1,0,0
517,2004,M,33,27,6,0.181818182
518,1999,M,2,2,0,0
519,2001,M,3,3,0,0
520,1963,M,4,4,0,0
521,2003,M,5,4,1,0.2
522,1975,M,1,1,0,0
523,2001,M,2,2,0,0
524,1962,M,1,1,0,0
525,1995,M,2,2,0,0
526,1972,M,2,2,0,0
527,2004,M,5,3,2,0.4
528,1969,M,1,1,0,0
529,1996,M,2,2,0,0
530,2014,M,8,3,5,0.625
531,2011,M,2,2,0,0
532,1981,M,1,1,0,0
533,1973,M,1,1,0,0
534,1974,M,4,2,2,0.5
535,1995,M,7,6,1,0.142857143
536,1998,M,1,1,0,0
537,1992,M,4,4,0,0
538,1997,M,3,2,1,0.333333333
539,2012,M,22,20,2,0.090909091
540,2002,M,10,8,2,0.2
541,2014,F,1,0,1,1
542,2002,M,2,1,1,0.5
543,1976,M,1,1,0,0
544,1961,M,1,1,0,0
545,1996,M,1,1,0,0
546,2002,M,1,1,0,0